"gene","TCGA-3C-AAAU-01","TCGA-3C-AALI-01","TCGA-3C-AALJ-01","TCGA-3C-AALK-01","TCGA-4H-AAAK-01","TCGA-5L-AAT0-01","TCGA-5L-AAT1-01","TCGA-5T-A9QA-01","TCGA-A1-A0SB-01","TCGA-A1-A0SD-01","TCGA-A1-A0SE-01","TCGA-A1-A0SF-01","TCGA-A1-A0SG-01","TCGA-A1-A0SH-01","TCGA-A1-A0SI-01","TCGA-A1-A0SJ-01","TCGA-A1-A0SK-01","TCGA-A1-A0SM-01","TCGA-A1-A0SN-01","TCGA-A1-A0SO-01","TCGA-A1-A0SP-01","TCGA-A1-A0SQ-01","TCGA-A2-A04N-01","TCGA-A2-A04P-01","TCGA-A2-A04Q-01","TCGA-A2-A04R-01","TCGA-A2-A04T-01","TCGA-A2-A04U-01","TCGA-A2-A04V-01","TCGA-A2-A04W-01","TCGA-A2-A04X-01","TCGA-A2-A04Y-01","TCGA-A2-A0CK-01","TCGA-A2-A0CL-01","TCGA-A2-A0CM-01","TCGA-A2-A0CO-01","TCGA-A2-A0CP-01","TCGA-A2-A0CQ-01","TCGA-A2-A0CR-01","TCGA-A2-A0CS-01","TCGA-A2-A0CT-01","TCGA-A2-A0CU-01","TCGA-A2-A0CV-01","TCGA-A2-A0CW-01","TCGA-A2-A0CX-01","TCGA-A2-A0CY-01","TCGA-A2-A0CZ-01","TCGA-A2-A0D0-01","TCGA-A2-A0D1-01","TCGA-A2-A0D2-01","TCGA-A2-A0D3-01","TCGA-A2-A0D4-01","TCGA-A2-A0EM-01","TCGA-A2-A0EN-01","TCGA-A2-A0EO-01","TCGA-A2-A0EP-01","TCGA-A2-A0EQ-01","TCGA-A2-A0ER-01","TCGA-A2-A0ES-01","TCGA-A2-A0ET-01","TCGA-A2-A0EU-01","TCGA-A2-A0EV-01","TCGA-A2-A0EW-01","TCGA-A2-A0EX-01","TCGA-A2-A0EY-01","TCGA-A2-A0ST-01","TCGA-A2-A0SU-01","TCGA-A2-A0SV-01","TCGA-A2-A0SW-01","TCGA-A2-A0SX-01","TCGA-A2-A0SY-01","TCGA-A2-A0T0-01","TCGA-A2-A0T1-01","TCGA-A2-A0T2-01","TCGA-A2-A0T3-01","TCGA-A2-A0T4-01","TCGA-A2-A0T5-01","TCGA-A2-A0T6-01","TCGA-A2-A0T7-01","TCGA-A2-A0YC-01","TCGA-A2-A0YD-01","TCGA-A2-A0YE-01","TCGA-A2-A0YF-01","TCGA-A2-A0YG-01","TCGA-A2-A0YH-01","TCGA-A2-A0YI-01","TCGA-A2-A0YJ-01","TCGA-A2-A0YK-01","TCGA-A2-A0YL-01","TCGA-A2-A0YM-01","TCGA-A2-A0YT-01","TCGA-A2-A1FV-01","TCGA-A2-A1FW-01","TCGA-A2-A1FX-01","TCGA-A2-A1FZ-01","TCGA-A2-A1G0-01","TCGA-A2-A1G1-01","TCGA-A2-A1G4-01","TCGA-A2-A1G6-01","TCGA-A2-A259-01"
"A1BG",7.62270857220786,7.89108131943808,8.72532058177141,7.57756327188494,8.07082346654013,7.67081060037975,7.72312028038221,8.29546636139481,5.62056295180521,7.15276751926177,7.5911064014866,8.34881400530791,7.39943516489204,7.49444361274687,7.0051192367656,7.82515023882508,6.43702128236555,8.26441304226932,6.45250648245823,8.19518713682555,5.20064951333007,9.84125155955451,7.51956156097576,6.76487159073609,6.8358546151005,7.71168624378086,6.03340978594983,8.23289814884224,7.20322073673532,7.18308449677645,5.42320501193996,7.50549083117686,8.2121485887181,6.71001290539324,5.6280911568606,8.2510169805968,8.53956441511121,7.02011545146551,9.41384918170754,8.19459534231921,8.01951178103568,6.70405855969455,7.15605171850967,6.80504347118496,6.40919403726107,7.71664732202672,8.43671154213721,4.36408911854306,6.9035468847485,4.64710724397514,6.38244937966079,7.27487011165537,5.75807127394572,7.94897572196176,6.29489823424411,7.85330581219006,4.77386449388333,6.07528873861557,7.02801543824939,7.02812708231714,7.2183549596823,6.06003224740156,7.56268279882265,6.89944997752884,6.71155272342258,6.7712676009383,7.31539233132432,6.78169542894335,4.58749701189607,5.95234288607499,7.89671747488534,8.01971914751867,5.92249520706364,8.96678718612508,7.72174586342491,7.87581261670205,6.56649401209596,7.404199786724,6.62554958996177,7.19434220466104,7.06641322213118,7.46524803810516,5.28258807025917,6.16867612909462,6.497259472081,7.10173830905524,5.41676206663377,6.79831885597978,6.8033226273162,5.54302872599982,7.26049806876246,6.85405052042552,3.89243960068625,7.67190616123092,7.07378382277328,7.12198102010633,3.88595499823178,6.26316777382001,6.87612767334752,7.16225133270764
"A2BP1",NA,NA,NA,NA,1.93726905362749,-0.769551023792494,NA,-0.935117148415146,2.17152710603881,-1.59596886037817,NA,-1.22296961479919,2.11103131238874,-1.46913020206859,-0.764640552609055,NA,NA,-1.66337383423646,NA,NA,NA,NA,NA,NA,NA,NA,-0.523877580119848,NA,NA,NA,NA,1.42034765265291,-1.30757280191029,0.890018587483822,NA,-1.25911560248234,-0.577336408344978,NA,-1.16520789523554,-0.115753760472329,-1.25808005150531,NA,-1.80339295590518,NA,NA,NA,-1.07036047427912,NA,NA,NA,NA,NA,NA,NA,NA,-0.00476876643436136,NA,NA,-1.42856588412349,2.57502182592942,NA,0.0739572999433244,-1.49736388279754,-0.191491383326025,NA,NA,1.36899178890816,-1.82981854223475,0.396378726979646,-0.638680798442784,NA,NA,NA,NA,NA,NA,-1.45521789521334,-0.725947115921742,-0.791607600209324,NA,-1.63441943416663,NA,-1.91212986705894,3.19973515468175,1.312316654402,NA,NA,NA,2.8170706301774,NA,NA,-0.131313234677865,-1.75292316806918,-0.299737855253296,-1.27334313731431,-1.60515663846914,NA,NA,1.00093744713925,-0.0997417875652501
"A2LD1",6.685987789104,6.1469932123587,7.33324660627351,5.9659504735585,7.27025046788835,6.80135786672626,6.67203349805074,7.86801503679446,5.24398128586924,6.06313618193998,6.14833421229508,7.33400863656896,6.85345678076902,7.0267358889654,5.72355583116096,7.03277309175737,8.65885055507746,6.68263088040466,6.08695993195195,6.67187503274321,6.00661444843934,5.53800729821722,6.99224499638643,6.47007313688841,6.76011180858084,6.0773519661547,6.25236267123282,5.44524002947069,6.33122868160678,6.54551745644624,5.89902574485875,7.12458662228021,6.21307310473768,6.53654563325123,4.93757979967966,6.58257557199187,6.57290633811992,3.85292769757938,6.62973108927991,6.8450559226034,6.28388659322654,5.62879400505179,6.53088383987512,4.65365050669547,5.9310920550275,6.1028533606432,6.52094548418564,4.76768127918082,5.05477903151962,6.68889789012726,6.80964595660377,4.96440325325613,5.14297700817902,6.67268839767166,6.21265298783722,6.9787642195849,7.28002557184076,6.28071695799367,6.40908369424502,4.41974112430727,7.19515071056471,6.12653309423747,6.5454155183013,6.87571003955604,7.37329584589302,6.79480313249615,6.63682179955641,6.61912831729638,5.81286013723222,6.73361736441589,6.55918127608253,8.05187017189384,6.65458734122367,6.59857959255365,6.80666174669055,6.59691129599113,6.31889886402147,6.11550981641073,5.570617757413,4.64007136848382,6.41732933762268,3.76614988220636,5.94913101524583,6.10545180105368,6.58458975635404,6.22939180747376,5.6656429013977,6.08013105176782,5.28008033799449,6.65215518197328,4.89774866818595,4.85803074237472,5.26272629743211,6.6447734521622,6.54785542213787,6.41089734139508,5.60545581247985,5.40583242942736,6.03790490657072,6.26224897523877
"A2ML1",0.463203920428625,2.12108173024304,NA,0.726744042493001,1.76735817845787,0.230448976207506,2.02680005934372,NA,1.65695393320906,2.92770686242283,-0.0185857004000316,1.77703038520081,0.84799690655495,0.530670075491706,2.32276461544356,-0.450873019800733,4.63793477553514,-1.66337383423646,NA,4.50523674274762,9.73759043883378,1.0122826089523,-1.33569921465996,10.6845267648983,11.1633241839025,-1.46514154859928,13.7595118811139,9.41178085902229,0.70460641332374,6.94477998542102,3.17175125877515,NA,0.277508728144778,5.16802420133695,9.8914945277802,3.54807898929336,-0.577336408344978,0.100170319756977,0.419646752531433,1.20620559846117,6.13409975157368,1.61098347143553,3.3260339277173,5.91536553258229,10.1040683575469,2.61793316664953,1.73695116714366,2.17967027934743,2.08331550233567,-0.435963338133392,3.01088723140922,0.0908534304511135,-0.493702734528478,-1.59858797463619,2.10574511606935,NA,3.77386976736374,NA,1.89340104456264,-1.88416770134744,6.40988306579313,0.0739572999433244,1.82468640017123,-0.191491383326025,7.18613900662589,10.0700742406628,1.5913443128151,3.89815029520209,4.13332513915903,9.7658405241985,-1.52118347095058,8.51175028221194,7.21980355379852,8.45295571755807,-1.67807190511264,1.55006336316472,1.86682887000908,-0.725947115921742,7.96505467358819,0.187767747046025,1.17287150035228,5.36427125577994,-1.91212986705894,2.78469242135357,7.42082343042838,1.7135638549938,10.4657275001621,4.79770821006155,0.357608303813849,12.0561091719826,5.8776411966227,-0.716196729071634,0.247198388575865,NA,-1.27334313731431,-0.604937200482422,13.9440317533998,NA,1.5859239769586,0.637192886958848
"A2M",12.5014328253923,12.8864547517222,13.1098957536077,13.4199890446232,13.2266293333612,13.5900397722203,13.911263321199,11.6359376816267,14.9488667676882,14.5382794432888,13.9410922770939,13.9277770455856,13.6065193906903,13.7729186842346,13.2610506724443,14.4326669563761,12.0328571352393,13.1293648424838,13.4734430578103,11.9992436548717,12.3574368703207,13.4324850448695,13.2629687298973,13.1823301166606,13.6419623793957,12.8594676971739,13.6178667339768,15.4085901839575,13.2346637699263,14.4907192335844,13.0994089625432,13.5146544172377,13.6074638955771,14.4823048538806,12.9597709520082,14.9728656534283,14.5125302272667,12.8794095069659,14.4056784904525,11.9579068742406,12.9236096079749,15.0813160030194,14.1696064102483,12.5017428096606,13.9257456491976,13.0644779264271,14.2285231106143,16.7791935434779,12.6826815489605,15.2219787684126,12.4271294048521,13.4411189190577,13.1699024278472,14.6549623935322,14.2737388021758,14.6761953368238,13.4438722168048,13.1115941682938,15.0710967318079,12.3975977370714,12.9899853834959,13.2537484956971,14.4363391296444,13.8657894583225,12.9127527114792,13.9001265106164,14.417714783929,13.5373334062246,13.294264640113,13.1256818035957,14.3561351216356,12.383847690962,14.0752182307424,13.7560338660039,13.4652609731217,14.3295197601311,14.7029202889186,13.7345251441232,14.1146353383101,13.3386689670346,14.2185078097244,12.2523300555647,14.0379459134441,13.0300124303537,12.8113458513634,14.1338125469163,11.6927963720608,14.8458220727176,14.8634033679885,11.6600098021544,13.8518149389885,13.7182657601151,13.2228902745343,14.1382763925948,13.7266015637785,14.0223396004349,13.9052100515311,13.1460468692583,14.7213795383075,14.4036575890349
"A4GALT",6.09259648021901,7.30098761822478,9.16462891718799,8.98417034519064,8.41839110485634,8.53193581679363,8.04025519457741,8.68513737698165,8.39842476765267,8.55895636263893,8.05651795968139,8.78547110455201,9.27511463083172,8.44506576361838,8.0634506307197,9.38910965934264,6.31714666302005,8.22364843605082,9.1883089332443,5.21094987269927,9.59922349317595,6.45857230345053,9.4884513417576,7.23280367628081,8.77892967795415,8.22842670509601,6.96390178267054,7.95317442739858,7.44603782374213,8.37867634465369,6.39208897797826,8.92813163081894,8.23753599450633,8.81959218967938,7.03421461464853,9.41403656422887,9.66711633330521,7.30311951362343,9.74312378568186,8.07905751216009,7.74459774081169,8.89291402949402,8.61143024463908,7.3710447673576,7.48213191942351,12.0456733632539,9.021046031985,5.96815988912861,6.20800604567514,6.96498423273653,8.05002819462892,10.1776371716799,6.80556074303587,8.67189448812674,7.99244442235448,9.80523617985082,6.95828938143013,5.31393873053049,8.71483896155429,6.92937914606191,7.77432519151119,7.37473434730868,7.826951368766,8.98834640896783,7.45339658134667,9.12250060174746,7.00801284188332,8.57323969166469,7.64428460658512,8.21765677189899,7.94859091958691,7.47767975579774,8.46276236369281,7.39299138176614,8.40285815631258,8.85686371765425,9.76649014910696,7.88137096086544,9.00534917586508,8.83156345382493,8.67499938648429,6.14280346831907,6.23239214494302,6.45846239226499,8.55615348053426,9.27301297546548,7.89233941342518,8.04069904308497,7.48692831617697,8.33304440391444,7.98903906911183,5.96325677854326,5.73096051919794,7.96236161771397,8.1319238219312,7.00968979851885,6.91503083660716,6.90078229617254,7.92181119047832,8.0533171882715
"A4GNT",3.10710196931002,-0.87885194352469,NA,NA,-1.23276896297612,2.03780389826511,-0.295128035543647,1.87227718023458,-0.150400988848548,-0.595968860378175,NA,-0.222969614799194,-0.473931188332412,0.115699153431586,0.557287542278308,NA,-0.665889432155247,0.336397656213539,NA,0.11290026153255,1.13027195451886,NA,1.24926328606119,NA,0.625364016005363,0.534958026583896,NA,NA,0.289480386137595,-0.888167412922017,1.33525456524106,NA,-1.30757280191029,-1.43206521352218,-0.115597447016313,-1.25911560248234,0.422771219320474,NA,NA,-0.115753760472329,0.741747408275516,NA,-0.803141198633644,NA,NA,NA,1.51455153224184,-0.279809106167403,NA,-1.43596333813339,0.367035516155009,-0.324274381203164,NA,0.401630466584741,-1.47915034959192,0.995231233565639,NA,-1.73024867795163,0.893362210763871,NA,-1.33169930146135,0.810977717124144,NA,NA,0.134483821510794,-0.225160240172674,NA,-0.244856041513593,NA,-1.63890542982368,NA,-0.609772563159309,-1.41696237620334,NA,0.643948519302828,NA,NA,-0.140984615200586,-0.206561858277581,NA,-0.0494569334454783,-0.658128079355599,NA,NA,-0.495125410601536,0.839072742595877,NA,0.115832298652565,1.16497931095243,-0.17869796011047,NA,-1.71643376103485,0.247198388575865,-1.88470035597445,-1.27334313731431,1.2023236808107,-0.27805868731534,-1.86722576672367,-0.584025053581903,-1.68454970001507
"AAAS",9.34282405233277,9.79438759704869,9.49881211672841,9.60176391841497,9.67798190997593,9.89843829091978,9.62819215767189,9.77054992624278,9.47531170523506,9.04257430196874,9.31389407527785,9.97364456456586,9.48970187766255,9.03351220358758,9.28311961493738,8.98583027019154,9.98744536804983,8.68294122754998,9.31139230793255,9.16412730886592,9.49731077475036,9.0794807837426,9.66428816153251,9.66760477782596,9.31100259744587,9.70924134555824,8.54080456107597,9.4018426898039,9.75781800374531,9.16309890665228,9.98886998166646,9.34959550192901,9.86249649033888,8.76409697065095,9.01117189513279,9.39267611976305,9.8656960046143,9.90215756318914,10.099760175498,10.0090684484848,9.13087605749032,9.42235853290503,9.42436094501632,9.51796714698102,9.3130210935261,9.64474155246973,9.42945653926508,9.5766570441572,9.62074511283863,9.53923617937234,9.55994315838717,9.44011877106959,9.33765980847395,9.29338267032047,8.97301079291008,9.55998482566357,9.59365722646038,9.19064300670976,9.25181517441079,9.83284540382575,9.59841471075946,9.79395975315547,9.10546961116586,9.33199938925211,9.53748905037035,9.08321842192851,9.54473072430237,9.60224733751361,10.0480071219726,9.42799306585531,9.4697622741943,8.89404256112216,9.29053821583494,9.27440121754469,9.12132240737814,9.15490466815781,9.63369112053937,9.23041703223138,9.25289246167453,9.19192753210178,9.0668294583507,8.96028841474568,7.6895039471863,8.92862111458147,9.51197180818961,9.19589849514039,8.89973182385082,9.00564419665793,9.25397745165934,8.93068707886843,9.24452391424613,9.0943490399318,9.82457328109203,9.42932116069118,9.03398345127072,9.48641532225604,9.09623101284487,9.24438548133054,9.41317918531463,8.80908061517108
"AACSL",0.463203920428625,5.14344648198716,1.44355361024173,NA,-1.23276896297612,NA,NA,NA,9.68011808706741,-1.59596886037817,-1.6034020684251,NA,NA,-1.46913020206859,NA,1.13408948092042,-1.66566056009307,NA,-1.6407037411078,-0.302048300530787,NA,NA,-0.335699214659963,-0.947027725186011,-1.37444894892069,-0.465141548599281,0.476018699757825,NA,NA,-0.888167412922017,NA,-0.579706250653378,-1.30757280191029,-0.431870583499509,-1.11559744701631,NA,-0.577336408344978,0.515207819035821,0.419646752531433,-1.11559744701631,-1.25808005150531,-0.388922071168238,NA,NA,-1.30900192044309,NA,NA,NA,-1.08650737224992,NA,NA,1.55026041900124,NA,NA,NA,-1.58987602158707,0.31440650755482,-0.730488030095001,-0.428565884123491,NA,2.47575936682389,-0.510868147147283,NA,NA,NA,-0.225160240172674,NA,NA,NA,-1.63890542982368,-1.52118347095058,4.17157514169996,NA,NA,-1.67807190511264,NA,NA,NA,-1.79135789098483,NA,-0.634419434166635,4.14925936549962,NA,0.97731656290871,2.50495083976401,NA,NA,NA,-0.64227910438519,1.04369446122598,-1.89057257331385,-0.716196729071634,-0.167960667348026,-0.884700355974453,NA,NA,-1.8630211880365,NA,NA,NA
"AACS",10.0866651604762,9.70791832687884,10.5822281831707,9.74498263927898,9.71424551766612,9.70313064236033,9.86851438689123,10.2266792713714,11.0927767598536,9.61602662231765,9.69916101399365,8.79106290599857,10.7491799191704,9.67979253230573,9.88322215072639,9.74017792895448,11.2417942526887,10.3994855807343,9.66030348002709,8.9855932142892,9.76688481781059,10.3539453810167,10.4095421990259,9.8202517336925,9.31712133182058,9.84895650553351,8.70367763732194,8.25989999822676,9.37787987237071,11.260366570975,9.84757433665464,9.78611276892448,9.745818670309,10.0941197911616,9.20752198138707,9.0705237692118,10.2147292833527,10.1114070957293,9.87021766817168,10.3063655806171,9.43961898232348,10.7208145531373,9.82473492251501,10.9076160437063,10.8397636687688,11.4802689093664,9.56895136267061,10.8504803485547,9.56443780960137,10.0008163569217,10.1422325535454,10.1849152519614,10.0190930656301,9.59881571661648,9.73508853190634,9.51352548607493,9.94196737973712,10.8255729083757,9.60005227118141,10.0352057204766,10.2287494394719,9.98239313466157,10.0568800404347,10.1410334460228,10.4336850598198,9.26973496134988,10.0068057281977,10.0771181305379,9.44348129698055,9.79638036268898,9.91878022030577,9.99430647778544,10.1798348390577,10.2106958146079,9.83527497437277,10.1084631670729,10.4198843553862,9.74723918144249,10.5552892136935,9.45273605865967,9.64339138676833,10.7457137308008,9.87604384920341,10.5763192824601,9.76056327973993,10.0379341372745,10.3070682618503,9.61440342289738,9.46943282497899,8.98284359504276,9.74154248996022,9.10873614106315,9.94367728281239,9.98103762570777,9.9906385273075,9.7508814722757,9.91708321316546,10.4093037353169,9.60952505421667,10.1314086525559
